,name,season,region,games,win rate,k:d,gold per min,gold diff per min,game duration,kill per game,deaths per game,towers killed,towers lost,first blood rate,first tower rate,dragons per game,dragons %,heralds per game,herald %,avg dragons 15min,tower diff 15min,gold diff 15min,nashor per game,nashor %,cs per min,dmg per min,wards per min,vision wards per min,wards cleared per min
74,Falkol,S10,BR,33,42.4%,0.94,1699,-32,35:39,12.5,13.2,6.0,6.7,51.5,42.4,2.48,47.7,0.67,33.3,0.88,-0.2,-603,0.67,46.7,31.0,1770,3.4,1.38,1.44
75,FC Schalke 04,S10,EUW,43,41.9%,1.00,1726,-33,34:45,12.2,12.1,5.2,6.6,46.5,41.9,2.47,47.0,0.81,43.0,0.77,-0.2,-405,0.49,46.3,32.4,1827,3.3,1.27,1.46
76,Five Kings,S10,EUW,6,33.3%,0.71,1621,-236,32:37,14.2,19.8,3.3,7.8,50.0,33.3,2.50,45.6,0.50,25.0,1.67,-0.8,-2282,0.33,40.0,26.5,1795,2.6,0.98,1.11
77,Flamengo eSports,S10,BR,48,54.2%,1.00,1766,1,34:21,15.8,15.8,6.7,6.2,54.2,50.0,2.83,56.2,1.00,50.0,0.90,0.0,194,0.67,47.8,30.9,2108,3.6,1.41,1.52
78,Flayn Esports CZSK Edition,S10,CZ,17,41.2%,0.85,1680,-121,31:12,14.0,16.5,4.2,6.8,41.2,41.2,2.41,52.6,0.76,41.2,1.18,-0.1,-1053,0.59,43.1,28.8,1860,2.8,0.92,1.04
79,FlyQuest,S10,NA,81,56.8%,1.13,1747,31,34:22,12.7,11.1,6.4,5.4,59.3,43.2,2.70,52.9,0.86,44.4,0.90,-0.2,-20,0.75,61.0,32.2,1820,3.2,1.17,1.59
80,FlyQuest Academy,S10,NA,36,38.9%,0.78,1683,-90,32:24,10.4,13.2,5.0,7.0,47.2,36.1,2.08,42.8,0.86,44.4,0.89,-0.2,-648,0.42,36.3,31.5,1665,3.3,1.33,1.38
81,Fnatic,S10,EUW,68,58.8%,1.04,1826,71,31:58,13.8,13.3,6.7,5.5,54.4,51.5,2.63,57.3,0.78,40.3,0.99,0.1,240,0.69,54.7,33.0,1878,3.1,1.18,1.40
82,Fnatic Rising,S10,UK,15,53.3%,1.13,1796,51,32:08,16.3,14.3,5.4,6.3,66.7,33.3,2.53,55.1,0.73,36.7,1.13,-0.1,329,0.53,44.1,31.0,2182,2.8,1.12,1.19
83,For The Win,S10,PT,50,64.0%,1.45,1799,171,32:35,14.9,10.3,7.2,4.4,56.0,60.0,2.46,52.6,1.24,65.0,0.98,0.6,1263,0.80,65.5,31.6,1934,3.0,1.19,1.36
84,FTV Esports,S10,VN,34,26.5%,0.65,1689,-197,30:27,11.9,18.4,4.7,7.6,50.0,41.2,1.76,40.0,1.00,56.5,0.84,-0.6,-1884,0.50,33.3,29.6,1831,3.1,1.15,1.21
85,Funplus Phoenix,S10,CN,115,57.4%,1.14,1784,36,32:24,14.4,12.6,6.3,5.5,29.6,22.6,2.57,53.2,0.52,50.0,0.98,0.0,-391,0.68,53.0,31.4,1860,3.4,1.43,1.48
86,FURIA Uppercut,S10,BR,45,42.2%,0.85,1707,-71,33:44,12.6,14.8,5.7,7.2,42.2,37.8,2.18,43.4,0.76,37.8,1.04,0.0,-436,0.69,45.9,30.7,1878,3.4,1.48,1.41
87,Furious Gaming,S10,LAT,28,28.6%,0.68,1610,-180,37:17,7.8,11.4,4.0,8.4,28.6,25.0,2.39,40.3,0.82,41.1,0.79,-0.7,-1888,0.50,28.6,31.7,1495,3.8,1.41,1.49
88,G2 Arctic,S10,ES,78,51.3%,0.97,1731,5,32:07,11.7,12.0,5.9,5.8,44.9,48.7,2.23,47.8,0.78,40.3,0.91,0.0,252,0.68,51.6,31.6,1888,3.3,1.45,1.31
89,G2 Esports,S10,EUW,83,67.5%,1.22,1838,97,32:26,17.1,13.9,7.5,5.2,57.8,47.0,2.47,56.3,0.98,51.9,0.85,0.0,498,0.58,57.0,31.9,2127,3.6,1.34,1.44
90,Galakticos,S10,TR,40,55.0%,1.09,1765,98,33:17,12.5,11.5,6.8,5.1,45.0,57.5,2.60,54.9,1.08,55.0,1.05,0.3,768,0.75,59.1,32.0,1885,3.0,1.22,1.25
91,Galatasaray Esports,S10,TR,18,44.4%,0.88,1725,-9,31:29,10.6,12.1,5.6,5.7,44.4,38.9,2.06,47.5,0.89,44.4,1.00,-0.2,206,0.67,44.1,31.4,1732,3.0,1.30,1.30
92,GAM Esports,S10,VN,98,66.3%,1.40,1877,170,30:47,17.8,12.7,6.9,4.6,58.2,63.3,2.48,55.6,1.16,60.2,0.98,0.5,1687,0.61,56.4,32.9,2152,3.3,1.15,1.33
93,Gama Dream,S10,CN,4,0.0%,0.31,1580,-412,30:21,5.3,17.0,2.3,8.8,-,-,1.00,20.0,-,-,-,-,-,0.00,0.0,32.7,1214,3.3,1.36,1.55
94,Gambit Esports,S10,CIS,38,60.5%,1.30,1818,155,31:24,15.0,11.6,7.1,4.3,47.4,60.5,2.66,62.1,1.18,62.5,1.22,0.5,1548,0.76,66.7,31.8,1995,3.1,1.27,1.33
95,GamerLegion,S10,DE,102,57.8%,1.01,1796,48,31:50,14.7,14.4,7.1,5.3,46.1,58.8,2.55,54.0,1.00,51.0,0.96,0.2,299,0.74,52.8,31.6,2121,3.0,1.08,1.19
96,Gamers Origin,S10,FR,67,62.7%,1.28,1802,101,32:48,15.7,12.3,7.3,5.1,44.8,65.7,2.37,50.8,1.25,64.9,1.03,0.4,900,0.76,61.0,31.0,1987,3.0,1.19,1.30
97,GameWard,S10,FR,52,50.0%,0.87,1752,-71,31:20,16.7,19.1,6.0,5.8,46.2,55.8,2.02,44.2,0.75,39.4,0.79,0.1,-109,0.67,49.3,29.2,2202,3.1,1.25,1.15
98,GeekCase eSports,S10,PT,36,33.3%,0.58,1605,-211,33:28,10.2,17.5,4.5,7.6,36.1,30.6,1.83,35.3,0.72,36.1,0.75,-0.6,-1833,0.47,31.4,29.3,1604,3.2,1.37,1.32
99,Gen.G eSports,S10,KR,124,66.9%,1.43,1837,148,32:10,14.1,9.8,7.2,4.3,64.5,62.9,2.85,63.2,1.16,62.7,1.12,0.4,1176,0.71,65.6,33.5,1898,3.8,1.50,1.78
100,Gentlemens Gaming,S10,PL,21,38.1%,0.63,1658,-203,31:30,10.5,16.8,4.3,7.8,66.7,42.9,1.52,29.0,0.52,26.2,0.67,-0.8,-1373,0.43,37.3,30.7,1703,3.3,1.25,1.18
101,Golden Guardians,S10,NA,51,45.1%,0.79,1709,-44,34:45,9.5,12.0,5.6,6.7,47.1,47.1,2.49,49.7,1.08,55.9,1.08,0.1,325,0.61,48.6,32.7,1796,3.3,1.31,1.50
102,Golden Guardians Academy,S10,NA,41,48.8%,0.97,1731,25,34:36,12.4,12.8,6.3,5.9,63.4,53.7,2.73,54.8,1.12,61.0,1.05,0.3,1091,0.56,44.6,31.3,1924,3.1,1.32,1.33
103,Gravitas,S10,OCE,42,16.7%,0.58,1579,-302,30:41,9.8,17.0,2.9,8.4,38.1,23.8,1.52,31.4,0.71,35.7,0.81,-1.0,-2056,0.29,18.5,29.2,1615,3.0,1.22,1.17
104,Griffin,S10,KR,87,37.9%,0.85,1677,-95,33:57,10.0,11.7,4.7,7.0,52.9,34.5,1.89,37.6,0.57,31.6,0.86,-0.3,-646,0.36,29.8,32.2,1647,3.9,1.51,1.67
105,GTZ Bulls,S10,PT,34,29.4%,0.79,1628,-165,33:13,13.3,16.9,4.1,7.2,52.9,44.1,2.59,50.3,1.03,54.4,1.35,-0.2,-833,0.56,35.4,28.4,1861,3.2,1.25,1.22
106,Gunrunners,S10,CZ,14,21.4%,0.68,1616,-291,29:54,13.1,19.3,3.3,8.4,42.9,14.3,1.43,28.8,0.71,35.7,0.36,-1.6,-3880,0.64,45.5,27.0,1773,2.7,1.06,0.97
107,Hanwha Life eSports,S10,KR,95,31.6%,0.70,1667,-169,32:09,9.9,14.0,4.1,7.4,44.2,41.1,1.97,40.2,0.82,44.2,0.95,-0.2,-916,0.39,34.6,31.8,1704,3.8,1.70,1.61
108,Havan Liberty Gaming,S10,BR,38,44.7%,1.05,1720,-27,32:57,12.9,12.3,6.0,6.7,47.4,55.3,2.32,47.0,1.26,63.2,0.84,0.0,137,0.71,48.0,30.5,1785,3.6,1.51,1.38
109,Hong Kong Attitude,S10,PCS,46,39.1%,0.76,1654,-125,33:53,10.0,13.1,4.7,7.2,34.8,32.6,2.26,44.6,0.83,42.4,0.78,-0.7,-1401,0.59,43.1,31.0,1657,3.4,1.44,1.52
110,hyFresh Blade,S10,KR,79,48.1%,0.97,1704,-26,33:26,11.7,12.1,5.5,6.3,51.9,45.6,2.51,51.1,0.95,48.7,0.99,-0.2,-194,0.63,46.2,31.1,1824,3.6,1.41,1.59
111,Illuminar Gaming,S10,PL,39,43.6%,0.86,1701,-2,34:40,11.1,12.8,6.0,6.1,43.6,61.5,2.77,53.4,1.08,55.1,1.13,0.3,315,0.56,50.0,31.3,1805,3.0,1.07,1.30
112,Immortals,S10,NA,37,32.4%,0.65,1608,-176,36:04,8.1,12.5,5.1,7.4,35.1,43.2,2.24,38.6,0.95,50.0,0.84,-0.1,-929,0.54,32.4,30.9,1633,3.4,1.37,1.52
113,Immortals Academy,S10,NA,36,41.7%,0.82,1685,-67,33:50,10.9,13.3,5.8,6.5,38.9,44.4,2.19,42.0,1.06,54.2,0.92,0.1,-78,0.58,46.4,31.3,1677,3.3,1.19,1.33
