Name	Season	Region	Games	Win rate	K:D	GPM	GDM	Game duration	Kills / game	Deaths / game	Towers killed	Towers lost	FB%	FT%	DRAPG	DRA%	HERPG	HER%	DRA@15	TD@15	GD@15	NASHPG	NASH%	CSM	DPM	WPM	VWPM	WCPM
OFFSET Esports	S12	PT	3	66.7%	1.45	1819	204	30:45	16.0	11.0	7.0	3.7	66.7	100.0	2.67	58.3	1.00	50.0	1.00	1.0	2505	0.33	50.0	32.5	1994	3.2	1.20	1.25
Olympiacos Alimou	S12	GR	2	50.0%	1.04	1766	61	29:28	12.5	12.0	5.5	4.0	50.0	50.0	2.50	62.5	1.50	75.0	1.00	1.0	2394	0.50	50.0	31.8	1782	2.5	1.12	1.32
OMG	S12	CN	22	54.5%	1.09	1847	53	28:54	15.1	13.9	6.0	5.2	59.1	36.4	2.23	59.8	-	-	-	-	-	0.77	71.1	31.4	2042	-	-	-
ORDER	S12	OCE	1	0.0%	0.92	1589	-292	40:01	11.0	12.0	3.0	10.0	100.0	-	4.00	66.7	1.00	50.0	2.00	-2.0	-2018	0.00	0.0	31.5	1636	3.8	1.27	1.37
PCS Taran	S12	FR	3	33.3%	0.85	1706	-85	34:41	14.7	17.3	5.3	6.7	33.3	-	3.00	61.1	0.33	16.7	1.33	-0.3	-951	0.67	50.0	30.3	2195	3.1	1.21	1.17
PEACE	S12	OCE	1	100.0%	2.75	2004	509	27:07	22.0	8.0	7.0	0.0	100.0	100.0	4.00	100.0	1.00	50.0	2.00	0.0	4786	0.00	-	34.8	2284	2.5	1.07	1.33
PENTA 1860	S12	DE	5	40.0%	0.77	1776	-41	30:39	11.4	14.8	5.0	6.8	-	100.0	1.60	35.0	0.60	30.0	1.00	0.6	165	0.40	40.0	33.8	1987	3.3	1.24	1.37
Pentanet.GG	S12	OCE	1	100.0%	1.73	2018	362	27:12	19.0	11.0	10.0	1.0	100.0	100.0	3.00	75.0	1.00	50.0	2.00	0.0	1615	1.00	100.0	32.5	2268	2.8	1.21	0.96
Rare Atom	S12	CN	14	42.9%	0.77	1800	-54	33:22	10.8	13.9	6.3	6.9	50.0	28.6	2.64	52.6	-	-	-	-	-	0.86	41.7	34.2	1736	-	-	-
RED Canids	S12	BR	2	100.0%	1.37	1838	86	39:00	18.5	13.5	7.5	6.0	50.0	50.0	3.00	53.3	1.50	75.0	1.50	0.0	702	1.00	75.0	32.2	2201	3.4	1.59	1.32
Rensga eSports	S12	BR	2	0.0%	0.52	1711	-203	33:15	8.5	16.5	3.5	9.5	-	-	1.50	29.2	0.00	0.0	0.50	-2.5	-5095	0.50	25.0	32.4	1975	2.9	1.41	1.52
Riddle Esports	S12	EUW	5	40.0%	0.77	1721	-32	34:14	9.6	12.2	5.4	6.4	40.0	60.0	1.60	35.0	1.40	70.0	0.20	-0.4	261	0.40	30.0	34.0	2091	3.1	1.08	1.35
Rogue	S12	EUW	5	100.0%	2.36	1976	376	29:34	18.4	7.8	9.4	1.6	40.0	80.0	2.80	73.3	1.00	50.0	1.00	0.6	1501	1.20	90.0	32.5	2402	3.2	1.26	1.30
Royal Never Give Up	S12	CN	16	56.3%	1.11	1857	55	33:22	13.8	12.4	7.2	5.9	62.5	68.8	2.25	50.1	-	-	-	-	-	0.69	53.1	33.5	1862	-	-	-
Samsung Morning Stars	S12	IT	2	0.0%	0.27	1618	-319	33:42	5.0	18.5	3.0	10.0	50.0	50.0	1.00	20.0	0.50	25.0	0.50	0.0	-1729	1.00	50.0	31.1	1535	3.1	1.17	1.18
Sector One	S12	BE	3	0.0%	0.58	1570	-359	34:27	10.7	18.3	3.7	9.0	33.3	33.3	1.67	33.3	0.67	33.3	0.67	-0.3	-1602	0.00	0.0	28.7	1574	3.1	1.21	1.52
Shadow Battlica	S12	KR	4	50.0%	0.92	1776	-55	27:45	19.3	21.0	4.5	5.5	75.0	50.0	2.00	54.2	0.50	25.0	1.50	0.5	982	0.25	50.0	28.5	2516	3.1	1.16	1.20
Shadow EK	S12	KR	5	40.0%	0.80	1755	-108	27:43	14.8	18.6	5.6	5.6	40.0	60.0	2.00	44.0	0.80	40.0	0.80	0.4	-302	0.20	25.0	30.1	2329	2.8	1.53	1.22
Shu Dai Xiong Gaming	S12	CN	4	25.0%	0.73	1787	-157	35:01	13.3	18.3	4.3	9.0	50.0	-	2.00	40.0	-	-	-	-	-	0.50	33.3	32.5	1855	-	-	-
SINNERS Esports	S12	CZ	3	33.3%	0.86	1747	-59	32:46	16.7	19.3	5.0	8.0	66.7	-	1.67	30.0	1.00	66.7	0.67	-1.0	-1764	0.67	50.0	29.8	2279	2.5	1.12	1.23
SK Gaming	S12	EUW	5	20.0%	0.72	1640	-241	37:07	12.2	17.0	4.0	8.8	40.0	40.0	2.60	48.3	1.20	60.0	1.00	-0.2	-1771	0.40	10.0	30.6	1978	3.5	1.26	1.47
SK Gaming Prime	S12	DE	5	40.0%	1.03	1795	29	34:36	16.2	15.6	5.2	6.2	60.0	60.0	1.80	32.7	1.80	90.0	0.40	0.4	2102	0.40	40.0	32.0	2313	3.4	1.22	1.14
Solary	S12	FR	4	50.0%	1.48	1800	51	33:15	17.8	12.0	5.8	6.5	50.0	50.0	1.50	34.2	1.25	62.5	0.50	-0.3	-146	0.75	62.5	30.1	2073	3.3	1.19	1.38
SOVEJA	S12	RS	3	33.3%	0.70	1668	-206	31:56	13.3	19.0	3.3	7.3	33.3	33.3	2.00	46.7	0.33	16.7	1.00	0.0	-207	0.00	0.0	31.1	1966	2.4	0.84	0.98
Split Raiders	S12	RS	3	66.7%	1.17	1857	120	32:27	18.0	15.0	6.7	3.7	100.0	66.7	2.33	46.7	1.33	66.7	1.33	0.3	1396	0.67	50.0	31.4	2208	2.6	1.14	1.09
SuperMassive Blaze	S12	TR	2	50.0%	1.03	1819	70	29:06	15.0	14.5	7.0	5.0	100.0	100.0	1.50	37.5	1.50	75.0	0.50	0.5	788	0.00	0.0	31.1	1986	2.8	1.30	1.37
SuperMassive Blaze Academy	S12	TR	2	100.0%	2.36	1966	372	27:40	16.5	7.0	9.5	2.5	50.0	50.0	2.50	66.7	0.00	0.0	1.00	0.5	1536	1.00	100.0	33.6	2104	2.7	1.16	1.12
T1	S12	KR	9	88.9%	1.87	1899	281	34:04	15.8	8.4	8.3	3.1	77.8	88.9	3.44	74.0	1.33	66.7	0.89	0.3	1488	1.00	85.4	32.8	2030	3.7	1.40	1.72
T1 Challengers	S12	KR	9	33.3%	0.73	1740	-96	33:20	11.9	16.3	4.7	7.0	33.3	44.4	1.78	40.0	1.00	50.0	0.44	0.1	-273	0.33	27.8	32.6	2129	3.3	1.46	1.64
Team 7AM	S12	BE	3	0.0%	0.48	1579	-394	30:34	9.7	20.3	1.7	9.3	33.3	33.3	1.00	20.0	1.33	66.7	0.67	-0.7	-1766	0.00	0.0	29.3	1691	2.9	0.94	0.88
Team Aurora	S12	TR	2	100.0%	2.33	1935	273	36:59	21.0	9.0	10.0	3.0	50.0	50.0	3.50	65.0	0.50	25.0	1.00	0.5	924	2.00	100.0	31.2	2075	3.3	1.61	1.37
Team AURORA Academy	S12	TR	2	50.0%	0.68	1688	-137	29:33	10.5	15.5	4.5	7.0	-	100.0	3.00	67.5	0.50	25.0	1.50	-0.5	-1346	0.50	25.0	31.9	1576	2.4	0.95	1.05
Team BDS	S12	EUW	5	20.0%	0.62	1658	-283	31:38	9.6	15.4	2.8	9.0	60.0	20.0	1.20	24.0	0.80	40.0	0.20	-0.8	-1972	0.60	30.0	31.4	1602	3.2	1.38	1.20
Team BDS Academy	S12	FR	4	75.0%	1.30	1806	164	32:00	13.0	10.0	7.0	3.3	25.0	50.0	3.25	80.0	1.00	50.0	1.50	0.0	1010	0.75	75.0	32.8	2137	3.7	1.62	1.78
Team Echo Zulu	S12	BE	3	100.0%	1.31	1871	242	38:21	19.7	15.0	10.0	3.7	33.3	33.3	3.00	55.6	1.00	50.0	0.33	0.3	1427	1.33	88.9	31.5	2470	3.1	1.28	1.32
Team ESCA Gaming	S12	PL	4	100.0%	1.36	1973	268	31:42	19.8	14.5	9.3	3.8	75.0	50.0	2.00	48.8	1.25	62.5	0.50	0.5	431	1.00	83.3	31.3	2369	2.6	0.77	1.30
Team Heretics	S12	ES	5	60.0%	1.05	1722	7	35:43	13.0	12.0	6.8	6.2	40.0	60.0	2.60	49.4	1.20	60.0	0.40	-0.4	936	1.20	60.0	29.8	1912	3.4	1.39	1.45
Team Liquid	S12	NA	6	83.3%	2.02	1958	347	31:06	14.5	7.2	9.2	3.3	66.7	100.0	3.17	76.4	1.50	75.0	1.00	1.0	2390	1.00	91.7	34.7	2041	3.2	1.32	1.75
Team Liquid Academy	S12	NA	4	25.0%	0.55	1748	-177	34:42	11.8	21.5	5.3	8.8	50.0	25.0	2.50	49.2	1.00	50.0	0.75	0.0	-1244	1.00	41.7	31.9	1978	2.8	0.95	1.32
Team MCES	S12	FR	3	33.3%	0.79	1715	-55	32:18	11.3	14.3	4.7	7.0	66.7	66.7	1.33	30.6	1.00	50.0	0.33	-0.3	-78	0.33	33.3	31.6	1966	3.0	1.14	1.34
Team Oplon	S12	FR	4	0.0%	0.62	1600	-341	32:26	10.8	17.3	1.8	10.3	75.0	25.0	1.75	40.0	0.50	25.0	1.25	-0.8	-1176	0.00	0.0	29.8	1672	3.1	1.67	1.28
