,name,season,region,games,win rate,k:d,gold per min,gold diff per min,game duration,kill per game,deaths per game,towers killed,towers lost,first blood rate,first tower rate,dragons per game,dragons %,heralds per game,herald %,avg dragons 15min,tower diff 15min,gold diff 15min,nashor per game,nashor %,cs per min,dmg per min,wards per min,vision wards per min,wards cleared per min
133,GTZ Bulls,S11,PT,33,45.5%,1.11,1772,7,32:12,17.1,15.3,6.1,5.9,54.5,45.5,2.27,47.6,1.00,51.6,0.85,-0.4,-409,0.73,56.3,29.7,2073,2.7,1.07,1.12
134,Hanwha Life eSports,S11,KR,134,51.5%,1.07,1794,30,32:54,13.1,12.2,5.9,5.8,46.3,50.7,2.31,51.2,0.95,48.9,0.83,0.0,171,0.64,50.0,33.8,1991,3.6,1.53,1.84
135,Hive Athens EC,S11,GR,14,28.6%,0.71,1625,-256,30:22,12.4,17.4,2.7,8.2,50.0,28.6,2.00,43.4,0.93,46.4,1.00,-0.8,-720,0.29,25.0,28.6,1902,2.7,0.99,0.92
136,HLE Challengers,S11,KR,50,52.0%,0.97,1779,15,32:22,12.3,12.7,5.5,5.7,44.0,54.0,2.42,50.8,0.52,27.0,0.98,-0.1,14,0.68,47.1,33.9,1812,3.1,1.18,1.53
137,HMG,S11,CN,4,0.0%,0.31,1585,-606,26:02,9.3,29.8,1.0,9.8,50.0,25.0,0.75,15.0,0.50,25.0,0.25,-1.5,-4631,0.00,0.0,28.4,2069,2.1,0.51,1.11
138,Hong Kong Attitude,S11,PCS,52,36.5%,0.78,1709,-135,29:34,12.4,15.9,4.4,6.7,46.2,28.8,1.60,39.5,1.06,52.9,0.58,-0.5,-537,0.48,37.3,30.8,1917,3.4,1.44,1.33
139,Illuminar Gaming,S11,PL,85,57.6%,1.03,1745,16,33:48,12.9,12.4,6.1,5.8,44.7,49.4,2.31,46.3,0.88,45.3,0.84,-0.1,-225,0.71,54.1,32.0,1863,3.2,1.28,1.32
140,Immortals,S11,NA,58,43.1%,0.97,1739,-69,32:13,11.8,12.2,5.0,6.8,41.4,27.6,1.90,40.8,0.84,42.2,0.69,-0.4,-689,0.60,45.5,32.6,1776,3.6,1.31,1.42
141,Immortals Academy,S11,NA,76,48.7%,1.03,1769,-5,32:31,14.7,14.3,6.0,6.2,44.7,46.1,2.09,45.2,0.96,51.3,0.78,0.1,92,0.64,45.9,31.6,2010,3.3,1.26,1.37
142,Impunity,S11,PCS,41,26.8%,0.68,1675,-241,28:51,12.1,17.8,3.3,7.6,39.0,34.1,1.88,44.5,0.66,32.9,0.98,-0.8,-2216,0.51,40.3,30.3,1900,2.8,1.03,1.23
